day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,rainfall,winddirection,windspeed
1,1025.9,19.9,18.3,16.8,13.1,72,49,1,80,26.3
2,1022,21.7,18.9,17.2,15.6,81,83,1,50,15.3
3,1019.7,20.3,19.3,18,18.4,95,91,1,40,14.2
4,1018.9,22.3,20.6,19.1,18.8,90,88,1,50,16.9
5,1015.9,21.3,20.7,20.2,19.9,95,81,1,40,13.7
6,1018.8,24.3,20.9,19.2,18,84,51,1,20,14.5
7,1021.8,21.4,18.8,17,15,79,56,0,30,21.5
8,1020.8,21,18.4,16.5,14.4,78,28,0,60,14.3
9,1020.6,18.9,18.1,17.1,14.3,78,79,0,70,39.3
10,1017.5,18.5,18,17.2,15.5,85,91,1,70,37.7
11,1016.5,20.4,18.1,16.5,16.4,90,90,1,40,23.3
12,1019.9,18.5,17.3,16.1,13.7,79,86,0,20,23.9
13,1020.8,18.7,16.1,14.2,12.1,77,34,0,30,24.4
14,1019.3,17.5,16.5,15.6,12.9,79,81,1,60,33.2
15,1015.4,16.1,15.1,14.5,14.6,97,97,1,50,37.5
16,1013.5,17.1,16.4,15.5,15.6,95,93,1,60,40
17,1011.5,20.6,17.8,14.8,16.1,90,79,1,20,23.4
18,1017.1,17.8,15.2,11.9,11.1,76,49,0,50,28.4
19,1020.1,17.6,16.4,15.3,12.5,78,84,0,60,38
20,1019.6,16.8,15.5,14.8,13.9,90,92,1,70,50.6
21,1017.7,17.1,16.1,15.1,15.3,95,100,1,50,26.2
22,1018.9,16.2,14.1,10.3,12.9,92,100,1,50,35.3
23,1027.1,10.4,8.5,7,3.4,70,95,1,20,55.5
24,1034.6,7.1,4.9,3.1,2.2,61,96,1,20,59.5
25,1032.6,10.8,7.4,4.3,3.7,46,25,0,20,28.7
26,1027.1,13.5,10.4,8.1,2.5,59,85,1,20,21.3
27,1022.7,15.3,13,9.8,11.6,92,95,1,20,29.6
28,1018.2,17.4,16.1,14.8,15.7,98,100,1,60,28.8
29,1017.9,17.4,16.6,15.9,15.9,96,91,1,50,25
30,1020,19.9,17.6,16.2,15.5,88,80,0,50,21.2
31,1019.9,16.2,15.7,15.3,13.4,86,93,1,70,43.1
32,1022.2,15.6,12.4,10.7,11.2,93,96,1,20,31.9
33,1024.4,11.2,10.4,9.4,6.8,79,94,1,10,27.3
34,1023.6,14.3,12.5,10.3,8.6,77,88,1,40,21.3
35,1021.8,18.8,15.2,13.3,10.9,76,45,0,40,9.1
36,1021.2,18.6,14.8,12.3,8.4,66,18,0,20,24.4
37,1024.9,17.4,13.6,11.2,0.3,39,13,0,20,44.7
38,1026.1,18.1,13.7,9.9,1.7,36,2,0,20,20.5
39,1023.9,19.6,14.8,11.6,4.3,52,0,0,40,16.7
40,1020.8,21.2,16.7,12.7,7.2,54,29,0,40,17.2
41,1017.5,17.3,16.6,15.3,9.8,64,77,1,40,22
42,1014.9,22.4,18.8,17.2,16.4,86,80,1,40,15.8
43,1013.4,21.6,19.2,17.6,18.5,95,86,1,30,13.9
44,1012.5,25.9,23.1,21.3,21.1,89,76,0,200,10.2
45,1014.8,24.6,21.7,17.4,18.1,81,82,1,20,15.3
46,1024.3,17.5,13.2,11.4,6.6,64,88,1,20,33.5
47,1025.4,15.1,12.8,10.9,6,63,89,0,20,23.5
48,1024.1,14.4,12.9,11.6,8.9,77,91,1,20,19.2
49,1021.9,15,13.7,11.7,11.8,89,95,1,40,18.6
50,1020.3,16.3,15.3,14.6,13.3,88,94,1,40,22.2
51,1023.2,20.1,16,12.5,9.6,67,55,1,20,23.9
52,1022.2,15.9,15,14.7,11,77,82,1,70,44.7
53,1020.6,17.6,16.1,14.6,14.7,91,88,1,50,24.4
54,1022.3,16.7,15.5,13.7,14.3,92,88,1,20,19.3
55,1027.5,15.5,13.7,12.3,10,78,88,1,20,28
56,1028.9,16.8,14.8,13.5,10.5,76,87,0,20,20.4
57,1027.4,17.6,15.2,14,11.6,79,88,1,30,15.2
58,1024.7,17.5,15.5,13.8,11.7,79,79,1,20,9.1
59,1023.8,20.9,16.6,13.3,11.5,72,49,0,20,9.2
60,1024.4,24.8,18.5,14.4,10.1,61,19,0,40,16.9
61,1024.7,19.7,16.5,14.6,11.5,73,43,0,70,34.2
62,1023.8,20.6,16.6,14.4,11.4,72,32,0,60,27.1
63,1020.9,23.8,18.7,15.4,14,75,46,0,40,14.7
64,1018.1,23.2,20.2,18.1,16.9,82,71,0,40,15.4
65,1016.7,23.1,20.8,19.2,16.9,79,83,1,30,13.3
66,1015.8,25.9,21.8,19.2,18,79,72,0,220,6.6
67,1014.9,21.3,19.7,18.9,18.2,91,76,1,40,13.8
68,1012.5,21.5,20.1,18.9,18.9,93,88,0,40,15.3
69,1012.5,22.9,20.8,17.1,19.9,95,88,1,50,15.1
70,1019.5,17.2,13.4,10,12.2,93,93,1,20,39.7
71,1022.6,14.3,11.9,10,8,77,93,1,20,25
72,1017.7,14.5,13.6,12.7,11.4,87,100,1,50,36
73,1014.5,17,15.8,14.4,15.1,96,99,1,50,22.8
74,1018,16.5,15.3,14.2,12.4,83,89,1,20,26.7
75,1017.1,15.5,14.8,14,11.1,79,94,1,70,38
76,1015,16.3,15.3,14.1,13.6,90,100,1,60,33.2
